iter	Logloss
0	0.6750381117
1	0.6583705935
2	0.642709739
3	0.6287374303
4	0.6162793832
5	0.6032983222
6	0.5909729684
7	0.5802358884
8	0.5692900338
9	0.560274673
10	0.5511366382
11	0.5431957494
12	0.5358858141
13	0.528863868
14	0.522229799
15	0.5160546543
16	0.5103421306
1717	0.5055825625
18	0.5005316398
19	0.495865769
20	0.4917172225
21	0.4879370328
22	0.4841034394
23	0.4808469224
24	0.4776821025
25	0.474339888
26	0.4713612458
27	0.4687148891
28	0.4661403816
29	0.4636243344330	0.4612106412
31	0.4590994894
32	0.4569231552
33	0.4549295738
34	0.4530642538
35	0.4513926452
36	0.4498875957
37	0.4483968022
38	0.4469673669
39	0.4454574479440	0.4441406879
41	0.4427642525
42	0.4416609286443	0.4405362738444	0.439758339
45	0.4387761081
46	0.4378915063
47	0.4371521073448	0.4361893716449	0.43551191250	0.434376818
51	0.4338023842
52	0.4330722782
53	0.4324270361
54	0.4320218527
55	0.4314234154
56	0.430871092
57	0.4301922178
58	0.4297219704
59	0.4292868945
60	0.4287128029
61	0.4282329686
62	0.4277814062
6363	0.4278819996464	0.4272982065	65	0.426788766	66	0.426401006767	0.426050566868	0.4257371646969	0.4253060267070	0.4249458457171	0.4246185657272	0.4242947397373	0.42392165774	0.4231700939
75	0.4228323581
76	0.4225717467
77	0.422335417
78	0.4220566662
79	0.4218223336
80	0.4215155174
81	0.421262998
82	0.4210340434
83	0.4207657437
84	0.4204401016
85	0.4202318627
86	0.4199896553
87	0.419854463
88	0.4196854953
89	0.4194592186
90	0.4192621307
91	0.419048314
92	0.4187907254
93	0.4185835154
94	0.4184165453
95	0.4182103829
96	0.4180786768
97	0.4178593836
98	0.4175633415
99	0.417320564
100	0.4170726698
101	0.4169604205
102	0.4167489373
103	0.4166368057
104	0.4164196643
105	0.4162995226
106	0.4161742029
107	0.4160030996
108	0.4158211052
109	0.4157264063
110	0.4155280177
111	0.415315098
112	0.4151862749
113	0.4150492918
114	0.4148974091
115	0.4146986702
116	0.4145241014
117	0.4143539556
118	0.4142348995
119	0.4141618184
120	0.4140294028
121	0.4138940806
122	0.4137105521
123	0.413533995
124	0.4133210076
125	0.4132121664
126	0.4131093259
127	0.4129119612
128	0.4127519687
129	0.4125791195
130	0.4123994471
131	0.4122141765
132	0.4120355899
133	0.4118093452
134	0.4116897073
135	0.4114788489
136	0.4112729108
137	0.4111435133
