iter	Passed	Remaining
0	78	78828
1	240	119907
2	337	112035
3	428	106619
4	495	98631
5	652	108089
6	731	103699
7	789	97849
8	857	948	189	923	91439	2068	204751
10	2196	197464
11	2465	203019
12	2592	196848
13	2674	188315	14	2749	180516	1940	112221
17	2246	122568
18	2469	127501
19	2628	128784
20	2832	132070
21	2944	130915
22	3030	128727
23	3100	126091
24	3162	123337
25	3233	121118
26	3391	122213
27	3557	123495
28	3702	123983
29	3878	125419
30	4095	128028
31	4285	129639
32	4378	128296
33	4526	128611
34	4727	130357
35	4878	130635
36	5028	130876
37	5095	129006
38	5156	127055
39	5243	125833
40	5376	125768
41	5492	125272
42	5567	123913
43	5617	122055
44	5689	120736
45	5753	119332
46	5816	117946
47	5912	117274
48	6008	116617
49	6110	116102
50	6187	115136
51	6250	113946
52	6321	112957
53	6440	112822
54	6506	111799
55	54	7491	128756	55	7566	127557	56	7640	126458	57	7760	126059	58	7903	126060	7173	110424
61	60	8191	126062	61	8297	125563	7552	110457
64	7630	109764
65	7687	108786
66	7746	107872
67	7802	106937
68	7859	106046
69	7927	105327
70	7983	104454
71	8039	103621
72	8100	102863
73	8168	102215
74	8228	101490
75	8280	100671
76	8363	100258
77	8432	99676
78	877	9379	1179	8566	98510
80	8621	97813
81	8675	97119
82	8712	96260
83	8767	95604
84	8812	9483	985	8879	94369
86	8919	93602
87	8966	92924
88	8998	92106
89	9044	91451
90	9077	90679
91	9112	89936
92	9152	89260
93	9182	88499
94	9221	87848
95	9260	87205
96	9290	86488
97	9349	86057
98	9382	85387
99	9417	84753
100	9455	84166
101	9483	83488
102	9532	83013
103	9568	82434
104	9614	81953
105	9662	81492
106	9698	80940
107	9754	80560
108	9832	80371
109	9877	79916
110	9931	79538
111	9979	79120
112	10043	78837
113	10082	78364
114	10151	78119
115	10189	77650
116	10254	77387
117	10326	77186
118	10375	76816
119	10459	76705
120	10514	76381
121	10558	75989
122	10621	75728
123	10693	75543
124	10743	75207
125	10778	74764
126	10826	74418
127	10866	74030
128	10915	73703
129	10969	73411
130	11014	73064
131	11059	72721
132	11101	72365
133	11143	72018
134	11180	71635
135	11230	71345
136	11267	70976
137	11330	70772
138	11373	70453
139	11419	70150
140	11486	69980
141	11547	69775
142	11595	69493
143	11652	69268
144	11694	68958
145	11751	68738
146	11788	68407
147	11846	68199
148	11900	67966
149	11948	67706
150	12016	67562
151	12065	67314
152	12107	67024
153	12162	66817
154	12212	66580
155	12255	66305
156	12297	66029
157	12340	65765
158	12389	65529
159	12473	65486
160	12535	65323
161	12601	65182
162	12655	64984
163	12692	64703
164	12743	64491
165	12774	64177
166	12812	63908
167	12863	63703
168	12904	63452
169	12948	63219
170	12990	62977
171	13044	62793
172	13083	62541
173	13127	62317
174	13177	62123
175	13240	61987
176	13310	61888
177	13362	61708
178	13437	61631
179	13492	61464
180	13540	61267
181	13576	61018
182	13617	60793
183	13652	60545
184	13693	60327
185	13734	60106
186	13761	59831
187	13791	59566
188	13839	59385
189	13868	59123
190	13918	58955
191	13950	58706
192	13981	58461
193	14012	58215
194	14042	57969
195	14066	57701
196	14103	57487
197	14133	57247
198	14157	56983
199	14185	56742
200	14225	56547
201	14251	56300
202	14282	56073
203	14316	55862
204	14344	55629
205	14369	55385
206	14422	55251
207	14458	55053
208	14489	54836
209	14530	54662
210	14561	54449
211	14595	54252
212	14647	54120
213	14701	53996
214	14792	54010
215	14852	53909
216	14900	53763
217	14967	53689
218	15043	53648
219	15091	53507
220	15179	53507
221	15260	53482
222	15338	53442
223	15392	53325
224	15443	53193
225	15508	53111
226	15571	53025
227	15619	52888
228	225	16567	56229	15741	52698
230	227	16720	56231	228	16796	56232	229	16848	56233	230	16919	56234	231	16956	56235	232	17004	55236	233	17100	55237	234	17161	55238	235	17222	55239	236	17266	55587
237	17319	55452
238	17405	55242	239	17449	55243	240	17495	55244	241	17556	54245	242	17617	54246	243	17668	54247	244	17741	54248	245	17780	54249	246	17827	54348
247	17859	54155
248	17907	54008
249	17948	53844
250	17992	53691
251	18036	53535
252	18075	53368
253	18129	53246
254	18224	53244
255	18296	53174
256	18356	53070
257	18415	52961
258	18453	52796
259	18522	52718
260	18562	52557
261	18605	52409
262	18643	52245
263	18690	52107
264	18735	51965
265	18785	51835
266	18835	51708
267	18879	51566
268	18934	51453
269	18968	51283
270	19007	51132
271	19042	50965
272	19089	50834
273	19138	50710
274	19174	50552
275	19220	50418
276	19255	50259
277	19315	50163
278	19377	50282	279	19447	50283	280	19513	49284	281	19564	49285	282	19619	49706
283	19654	49287	284	19712	49288	285	19772	49363
286	19822	49244
287	19868	49120
288	19915	48995
289	19950	48293	290	20019	48775
291	20067	48657
292	20166	48660
293	20223	48563
294	20252	48399
295	20295	48270
296	20341	48148
297	20389	48030
298	20429	47897
299	20458	47736
300	20497	47601
301	20534	47460
302	20567	47312
303	20603	47170
304	20630	47009
305	20657	46850
306	20708	46745
307	20749	46619
308	20786	46484
309	20815	46331
310	20855	46203
311	20906	46101
312	20938	45957
313	20976	45827
314	21012	45693
315	21042	45546
316	21072	45401
317	21110	45275
318	21145	45141
319	21183	45014
320	21216	44879
321	21246	44736
322	21292	44629
323	21331	44506
324	21374	44393
325	21427	44301
326	21471	44191
327	21525	44100
328	21570	43993
329	21618	43892
330	21650	43759
